DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2003,4200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2004,4600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2005,4900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2006,5400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2007,6000,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2008,6600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2009,6800,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2010,7400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2011,7700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2012,7700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2013,7600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2014,8100,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2015,8400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2016,8500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2017,8900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2018,9300,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2019,9600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2020,9300,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2021,10300,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2022,12200,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2023,13700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Albania,2024,14700,e,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2003,26300,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2004,27400,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2005,28500,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2006,29700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2007,30900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2008,31900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2009,30700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2010,31600,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2011,32900,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2012,34100,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2013,34300,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2014,34700,,
ESTAT:SDG_10_10(1.0),10/07/25 11:00:00,Annual,Real expenditure per capita (in PPS_EU27_2020),Gross domestic product,Percentage,Austria,2015,35700,,
